，	823353
的	687037
。	560812
国	289187
一	271569
在	250869
人	172322
十	163974
是	133972
中	133427
会	131811
美	130429
说	128858
他	127844
有	124514
这	122987
以	111627
不	108971
大	108313
年	105877
二	101723
为	98382
将	94361
出	91371
行	91101
日	89414
和	88529
发	85013
斯	84052
对	83839
三	83513
时	83041
天	81303
与	80231
们	76952
表	76003
上	75840
我	75784
前	73369
后	72287
名	71037
个	70898
员	70183
法	69575
五	69520
成	68903
百	68255
之	67435
拉	67124
公	66911
今	66370
部	65373
到	64204
家	63977
四	63347
示	63331
、	62792
地	61733
来	61434
已	61322
分	61182
生	60987
于	60827
九	60227
月	59932
可	59838
能	59447
克	58534
：	58370
要	57680
政	57538
经	56039
布	55982
了	55268
动	54679
本	54054
方	53886
总	52518
过	52152
六	51946
事	51473
加	51468
军	51194
新	51109
报	50592
长	50356
民	49353
下	49086
而	48843
主	48819
两	48092
并	47050
进	46890
巴	46629
也	46409
议	46169
开	46094
多	45920
全	45609
最	45318
利	44285
高	44166
七	44116
机	44093
尔	43687
子	43430
达	42998
因	42591
其	42583
得	42470
及	42400
比	41803
项	41784
场	41648
自	41534
但	41528
此	41182
者	41110
第	40982
击	40862
所	40711
希	40294
定	40129
外	39925
现	39615
统	38997
作	38949
八	38878
力	38456
赛	38426
亚	37999
重	37984
特	37959
当	37766
北	37686
万	37131
队	37128
内	36767
选	36297
球	35888
告	35729
业	35693
联	35534
同	35355
元	35354
合	35015
导	34877
官	34631
度	34500
司	34252
由	34056
关	33991
南	33910
指	33884
间	33862
明	33725
受	33518
伊	33454
提	33350
目	33340
府	33204
德	33016
市	32752
阿	32599
被	32548
西	32422
数	31844
战	31475
电	31178
正	31097
安	31019
都	30923
计	30792
千	30674
约	30490
问	30452
位	30295
工	30187
世	29975
任	29960
区	29944
决	29727
持	29709
欧	29645
期	29442
理	29429
次	29341
韩	29227
点	29214
0	29056
面	28833
小	28635
去	28568
使	28548
手	28469
洲	28334
组	28240
金	28183
举	28015
周	27996
罗	27781
体	27735
用	27633
情	27601
就	27410
界	27387
里	27240
未	27003
学	26543
至	26514
领	26429
务	26382
首	26021
心	25286
意	25160
车	25139
如	24872
警	24437
基	24422
回	24378
士	24352
起	24275
台	24119
交	23938
入	23887
尼	23884
些	23841
教	23580
济	23541
际	23492
调	23475
接	23466
产	23295
马	23289
海	23192
制	23186
平	23122
局	22734
然	22680
谈	22619
据	22585
反	22461
英	22416
空	22363
相	22327
获	22312
种	22223
案	22203
无	22151
性	21918
求	21901
实	21803
预	21718
立	21718
攻	21646
东	21633
造	21594
资	21581
件	21573
结	21416
强	21386
查	21243
协	21231
展	21160
病	21142
院	21061
认	21010
该	20882
列	20836
应	20743
言	20729
党	20443
遭	20382
果	20347
好	20240
坦	20017
望	19997
曾	19913
支	19877
通	19873
从	19833
取	19812
题	19748
网	19732
保	19599
近	19599
威	19451
亿	19307
非	19227
格	19196
色	19121
共	19050
女	19004
代	18908
信	18842
织	18831
道	18693
运	18616
还	18594
向	18561
她	18472
系	18229
参	18199
太	18197
团	18091
华	18000
物	17953
兰	17914
维	17912
份	17524
包	17489
少	17402
只	17227
卡	17159
准	17159
诉	16858
没	16778
权	16729
宣	16663
解	16646
口	16612
油	16526
记	16482
勒	16481
社	16432
盟	16414
瑞	16345
证	16343
建	16334
它	16259
夫	16233
声	16225
很	16180
路	16126
影	16123
原	16110
恐	16011
争	15979
商	15936
治	15913
更	15890
仍	15889
飞	15748
打	15718
感	15675
助	15638
防	15631
消	15620
科	15505
处	15457
等	15398
各	15269
易	15215
显	15185
化	15118
续	15117
引	15117
管	15084
研	15072
则	15025
投	15006
再	14933
价	14789
增	14789
式	14724
或	14584
话	14559
顿	14548
备	14526
先	14327
访	14317
印	14290
改	14289
席	14265
武	14231
必	14228
即	14198
费	14187
称	14140
直	14115
弹	14079
何	14056
活	14017
常	13949
致	13902
岁	13865
视	13849
死	13848
根	13801
曰	13790
票	13677
着	13613
施	13597
炸	13414
止	13399
俄	13397
失	13374
论	13335
究	13245
看	13237
那	13219
1	13156
设	13127
林	13122
括	13098
伤	13096
让	13089
品	13077
判	13069
难	13037
卫	13014
众	13009
给	12965
身	12954
每	12927
州	12887
往	12851
零	12839
量	12825
干	12802
传	12760
纳	12731
怖	12670
波	12518
率	12484
标	12478
控	12470
医	12446
集	12436
-	12424
许	12402
火	12363
演	12320
义	12284
班	12223
复	12176
爆	12166
程	12126
文	12070
气	11854
派	11845
势	11836
水	11827
诺	11769
哈	11672
京	11544
严	11542
放	11491
莫	11486
星	11482
划	11435
富	11375
且	11272
供	11260
史	11158
委	11141
昨	11120
画	11099
令	11031
连	11019
收	11016
宫	10996
离	10848
采	10845
减	10834
头	10832
否	10798
升	10794
杀	10753
早	10743
艾	10735
石	10724
营	10709
步	10669
塔	10654
除	10624
级	10509
闻	10497
器	10421
息	10417
规	10396
城	10352
亡	10348
爱	10332
确	10325
另	10303
须	10300
别	10266
王	10170
核	10167
责	10136
继	10093
奥	10070
柯	10050
普	10045
莱	10041
双	10031
袖	10018
冠	10000
森	9939
观	9859
单	9854
几	9815
检	9808
命	9804
知	9800
航	9775
米	9734
变	9714
始	9712
银	9704
述	9688
伦	9624
境	9585
察	9574
停	9571
想	9565
见	9559
客	9551
贸	9548
师	9533
抗	9523
况	9518
律	9511
专	9469
策	9468
白	9466
办	9447
佛	9446
门	9444
较	9433
突	9415
执	9406
又	9384
